# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1542.14 -46284.7 44742.6 0.01 0.00999396 0.1 0.0999698 0.085 0 0 0.00406171 -0.010345 -0.00133048
2 -2780.4 -46284.7 43504.3 0.01 0.0100035 0.1 0.100017 0.085 0 0 0.00608775 -0.0116721 -0.00172888
3 -3915.49 -46284.7 42369.2 0.01 0.00999712 0.1 0.0999856 0.085 0 0 0.0085919 -0.012708 -0.00299765
4 -4990.07 -46284.7 41294.7 0.01 0.0100025 0.1 0.100013 0.085 0 0 0.0112312 -0.0131986 -0.00324366
5 -6005.34 -46284.7 40279.4 0.01 0.00999917 0.1 0.0999959 0.085 0 0 0.0138956 -0.0141238 -0.00337991
6 -6980.38 -46284.7 39304.3 0.01 0.0099917 0.1 0.0999585 0.085 0 0 0.0168341 -0.0154868 -0.00363965
7 -7938.01 -46284.7 38346.7 0.01 0.00999393 0.1 0.0999696 0.085 0 0 0.0191382 -0.0166602 -0.00341911
8 -8878.93 -46284.7 37405.8 0.01 0.00999545 0.1 0.0999773 0.085 0 0 0.023105 -0.0173846 -0.00438158
9 -9769.67 -46284.7 36515 0.01 0.00999908 0.1 0.0999954 0.085 0 0 0.0267492 -0.0193006 -0.0038961
10 -10699.4 -46284.7 35585.3 0.01 0.0100023 0.1 0.100012 0.085 0 0 0.0300807 -0.020824 -0.00407011
11 -11625.8 -46284.7 34658.9 0.01 0.00999981 0.1 0.0999991 0.085 0 0 0.0327304 -0.022622 -0.00383202
12 -12539.7 -46284.7 33745 0.01 0.0100019 0.1 0.10001 0.085 0 0 0.034921 -0.023595 -0.00357788
13 -13489.4 -46284.7 32795.3 0.01 0.0100024 0.1 0.100012 0.085 0 0 0.0384166 -0.0249739 -0.00307194
14 -14416.7 -46284.7 31868 0.01 0.00999434 0.1 0.0999717 0.085 0 0 0.0430341 -0.0259277 -0.00311742
15 -15318.6 -46284.7 30966.1 0.01 0.0099984 0.1 0.099992 0.085 0 0 0.0471056 -0.0280286 -0.00314404
16 -16226 -46284.7 30058.7 0.01 0.00999668 0.1 0.0999834 0.085 0 0 0.0517089 -0.0289961 -0.00305208
17 -17172.7 -46284.7 29112 0.01 0.00999402 0.1 0.0999701 0.085 0 0 0.0550496 -0.0306986 -0.00396732
18 -18068.3 -46284.7 28216.5 0.01 0.00999932 0.1 0.0999966 0.085 0 0 0.0578516 -0.0323342 -0.00403804
19 -18954.7 -46284.7 27330 0.01 0.00999759 0.1 0.0999879 0.085 0 0 0.061802 -0.0341749 -0.00428999
20 -19819.5 -46284.7 26465.2 0.01 0.00999644 0.1 0.0999822 0.085 0 0 0.0663728 -0.0343315 -0.0035963
21 -20649.7 -46284.7 25635 0.01 0.00999577 0.1 0.0999788 0.085 0 0 0.0706317 -0.0356206 -0.00355788
22 -21473.1 -46284.7 24811.6 0.01 0.00999585 0.1 0.0999793 0.085 0 0 0.0749763 -0.0368446 -0.00238307
23 -22311.1 -46284.7 23973.6 0.01 0.00999725 0.1 0.0999863 0.085 0 0 0.0792522 -0.0383041 -0.00255231
24 -23087 -46284.7 23197.7 0.01 0.0100029 0.1 0.100015 0.085 0 0 0.0826913 -0.0390034 -0.00282812
25 -23828.5 -46284.7 22456.2 0.01 0.0100066 0.1 0.100033 0.085 0 0 0.086733 -0.0397397 -0.00399139
26 -24549.5 -46284.7 21735.2 0.01 0.0100128 0.1 0.100064 0.085 0 0 0.0902489 -0.0412849 -0.00443471
27 -25255.4 -46284.7 21029.3 0.01 0.00999788 0.1 0.0999894 0.085 0 0 0.0951533 -0.0435578 -0.00419098
28 -25911.6 -46284.7 20373.1 0.01 0.0100009 0.1 0.100004 0.085 0 0 0.0998643 -0.0436128 -0.00474259
29 -26515 -46284.7 19769.7 0.01 0.0099987 0.1 0.0999935 0.085 0 0 0.103453 -0.0457029 -0.00478463
30 -27106.9 -46284.7 19177.8 0.01 0.00999459 0.1 0.0999729 0.085 0 0 0.107551 -0.0467446 -0.00522462
31 -27649.9 -46284.7 18634.8 0.01 0.010001 0.1 0.100005 0.085 0 0 0.111252 -0.0478796 -0.00598466
32 -28201.8 -46284.7 18082.9 0.01 0.0100018 0.1 0.100009 0.085 0 0 0.115395 -0.0489534 -0.0060247
33 -28712.3 -46284.7 17572.4 0.01 0.00999663 0.1 0.0999831 0.085 0 0 0.118847 -0.0503821 -0.0060818
34 -29214.6 -46284.7 17070.2 0.01 0.0100029 0.1 0.100014 0.085 0 0 0.12215 -0.0525545 -0.00553813
35 -29672.9 -46284.7 16611.8 0.01 0.00999354 0.1 0.0999677 0.085 0 0 0.125482 -0.0542273 -0.00577481
36 -30094 -46284.7 16190.8 0.01 0.0100056 0.1 0.100028 0.085 0 0 0.127938 -0.0553651 -0.00673041
37 -30495.6 -46284.7 15789.2 0.01 0.00999915 0.1 0.0999958 0.085 0 0 0.132079 -0.0558699 -0.00706891
38 -30900.4 -46284.7 15384.4 0.01 0.00999657 0.1 0.0999828 0.085 0 0 0.135967 -0.0564491 -0.00682014
39 -31243.7 -46284.7 15041 0.01 0.0100009 0.1 0.100005 0.085 0 0 0.138831 -0.0587432 -0.00737293
40 -31573.6 -46284.7 14711.1 0.01 0.00999738 0.1 0.0999869 0.085 0 0 0.141827 -0.060668 -0.00833965
41 -31908.4 -46284.7 14376.4 0.01 0.0100053 0.1 0.100027 0.085 0 0 0.144345 -0.0637719 -0.00789889
42 -32208.9 -46284.7 14075.8 0.01 0.00999264 0.1 0.0999632 0.085 0 0 0.146352 -0.065496 -0.00820953
43 -32510 -46284.7 13774.7 0.01 0.0100016 0.1 0.100008 0.085 0 0 0.14896 -0.066296 -0.00859736
44 -32807 -46284.7 13477.8 0.01 0.00999753 0.1 0.0999877 0.085 0 0 0.152746 -0.0670363 -0.0106229
45 -33072.7 -46284.7 13212 0.01 0.00999991 0.1 0.0999995 0.085 0 0 0.155769 -0.0688395 -0.0107284
46 -33319.5 -46284.7 12965.2 0.01 0.0099945 0.1 0.0999725 0.085 0 0 0.159672 -0.0689899 -0.00976217
47 -33531.9 -46284.7 12752.8 0.01 0.0100048 0.1 0.100024 0.085 0 0 0.162488 -0.0702931 -0.0101139
48 -33739 -46284.7 12545.7 0.01 0.00999556 0.1 0.0999778 0.085 0 0 0.165148 -0.0723476 -0.0102911
49 -33952.8 -46284.7 12332 0.01 0.00999683 0.1 0.0999841 0.085 0 0 0.16751 -0.0733045 -0.0106038
50 -34163.8 -46284.7 12121 0.01 0.00999338 0.1 0.0999669 0.085 0 0 0.169897 -0.0738484 -0.012593
51 -34373.7 -46284.7 11911 0.01 0.00999697 0.1 0.0999848 0.085 0 0 0.172873 -0.0747009 -0.0134857
