# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -45967.7 -1.54884e+06 1.50288e+06 0.01 0.00999945 0.1 0.0999973 0.01 0 0 -0.000336227 0.000683684 -0.000593951
2 -87638.1 -1.54884e+06 1.46121e+06 0.01 0.0100005 0.1 0.100003 0.01 0 0 -0.000229778 0.000947928 -0.000839768
3 -126118 -1.54884e+06 1.42273e+06 0.01 0.00999923 0.1 0.0999961 0.01 0 0 -8.54882e-05 0.00116463 -0.000990641
4 -162035 -1.54884e+06 1.38681e+06 0.01 0.0100007 0.1 0.100003 0.01 0 0 5.21231e-05 0.00118251 -0.00103204
5 -196196 -1.54884e+06 1.35265e+06 0.01 0.00999919 0.1 0.099996 0.01 0 0 0.000335101 0.00132555 -0.00117261
6 -229257 -1.54884e+06 1.31959e+06 0.01 0.00999892 0.1 0.0999946 0.01 0 0 0.000622195 0.00136077 -0.00131895
7 -261291 -1.54884e+06 1.28755e+06 0.01 0.0100011 0.1 0.100005 0.01 0 0 0.000845297 0.00148626 -0.00133289
8 -292886 -1.54884e+06 1.25596e+06 0.01 0.0100001 0.1 0.100001 0.01 0 0 0.00126948 0.0015384 -0.00145479
9 -324154 -1.54884e+06 1.22469e+06 0.01 0.00999896 0.1 0.0999948 0.01 0 0 0.00165391 0.00169283 -0.00154676
10 -355072 -1.54884e+06 1.19377e+06 0.01 0.0100004 0.1 0.100002 0.01 0 0 0.00178536 0.00169795 -0.00188645
11 -386028 -1.54884e+06 1.16282e+06 0.01 0.00999886 0.1 0.0999943 0.01 0 0 0.00187885 0.00206936 -0.00203526
12 -417056 -1.54884e+06 1.13179e+06 0.01 0.00999856 0.1 0.0999928 0.01 0 0 0.00209092 0.002348 -0.00198595
13 -447991 -1.54884e+06 1.10085e+06 0.01 0.0100006 0.1 0.100003 0.01 0 0 0.00216008 0.00238005 -0.00204551
14 -478958 -1.54884e+06 1.06989e+06 0.01 0.0100005 0.1 0.100003 0.01 0 0 0.00247683 0.0024061 -0.00196642
15 -509696 -1.54884e+06 1.03915e+06 0.01 0.00999963 0.1 0.0999982 0.01 0 0 0.0028862 0.00268045 -0.00193703
16 -540168 -1.54884e+06 1.00868e+06 0.01 0.0100007 0.1 0.100004 0.01 0 0 0.00327195 0.00307159 -0.0018705
17 -570438 -1.54884e+06 978406 0.01 0.0100007 0.1 0.100004 0.01 0 0 0.003693 0.00334006 -0.00199298
18 -600357 -1.54884e+06 948486 0.01 0.0100011 0.1 0.100006 0.01 0 0 0.00419562 0.00344382 -0.00210599
19 -629666 -1.54884e+06 919177 0.01 0.0100004 0.1 0.100002 0.01 0 0 0.00460317 0.00370581 -0.00220068
20 -658314 -1.54884e+06 890529 0.01 0.00999953 0.1 0.0999976 0.01 0 0 0.00508948 0.0037734 -0.00231448
21 -686456 -1.54884e+06 862387 0.01 0.0100008 0.1 0.100004 0.01 0 0 0.00560028 0.00401519 -0.00248979
22 -713666 -1.54884e+06 835177 0.01 0.00999866 0.1 0.0999933 0.01 0 0 0.00608426 0.0041144 -0.00244501
23 -740078 -1.54884e+06 808765 0.01 0.0100008 0.1 0.100004 0.01 0 0 0.00637065 0.00447998 -0.00230393
24 -765689 -1.54884e+06 783155 0.01 0.0100002 0.1 0.100001 0.01 0 0 0.00678892 0.00456853 -0.00238362
25 -790304 -1.54884e+06 758539 0.01 0.0100004 0.1 0.100002 0.01 0 0 0.00729462 0.00457652 -0.00236394
26 -813870 -1.54884e+06 734973 0.01 0.0100006 0.1 0.100003 0.01 0 0 0.00764595 0.00457673 -0.00270982
27 -836457 -1.54884e+06 712386 0.01 0.0100004 0.1 0.100002 0.01 0 0 0.00808531 0.0047474 -0.00266919
28 -857967 -1.54884e+06 690876 0.01 0.0100002 0.1 0.100001 0.01 0 0 0.00856418 0.00496876 -0.00287714
29 -878447 -1.54884e+06 670396 0.01 0.00999927 0.1 0.0999964 0.01 0 0 0.00907962 0.00522899 -0.00298085
30 -897788 -1.54884e+06 651056 0.01 0.01 0.1 0.1 0.01 0 0 0.00938386 0.00540902 -0.00317142
31 -916251 -1.54884e+06 632592 0.01 0.00999795 0.1 0.0999898 0.01 0 0 0.00975291 0.0056093 -0.0033928
32 -933741 -1.54884e+06 615102 0.01 0.00999973 0.1 0.0999986 0.01 0 0 0.0101885 0.00580673 -0.00355885
33 -950334 -1.54884e+06 598509 0.01 0.00999889 0.1 0.0999945 0.01 0 0 0.0106894 0.00594914 -0.00349648
34 -965946 -1.54884e+06 582897 0.01 0.0100004 0.1 0.100002 0.01 0 0 0.0111929 0.0060853 -0.00371435
