# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1502.65 -46236 44733.3 0.01 0.0100017 0.1 0.100008 0.08 0 0 0.00336464 -0.0102745 -0.000597364
2 -2738.03 -46236 43498 0.01 0.00999787 0.1 0.0999893 0.08 0 0 0.00564631 -0.0115922 -0.000645541
3 -3885.49 -46236 42350.5 0.01 0.0100052 0.1 0.100026 0.08 0 0 0.00746337 -0.0126741 -0.00110841
4 -4960.4 -46236 41275.6 0.01 0.0100025 0.1 0.100013 0.08 0 0 0.00884799 -0.0136864 -0.000250333
5 -5991.21 -46236 40244.8 0.01 0.010005 0.1 0.100025 0.08 0 0 0.0115866 -0.0149199 0.00039193
6 -6980.01 -46236 39256 0.01 0.0100007 0.1 0.100003 0.08 0 0 0.0141288 -0.0156076 -0.00104811
7 -7944.02 -46236 38292 0.01 0.0100025 0.1 0.100012 0.08 0 0 0.0159182 -0.0170686 -0.000741541
8 -8870.45 -46236 37365.5 0.01 0.00999347 0.1 0.0999673 0.08 0 0 0.0179215 -0.0180742 -0.00135736
9 -9811.5 -46236 36424.5 0.01 0.0100021 0.1 0.10001 0.08 0 0 0.0204851 -0.0198735 -0.000921201
10 -10742.2 -46236 35493.8 0.01 0.0099981 0.1 0.0999905 0.08 0 0 0.0222591 -0.0211667 -0.00138908
11 -11683.2 -46236 34552.8 0.01 0.0099994 0.1 0.099997 0.08 0 0 0.024105 -0.0231287 -0.000441086
12 -12613.8 -46236 33622.2 0.01 0.0099983 0.1 0.0999915 0.08 0 0 0.026511 -0.0251204 -0.000240712
13 -13536.5 -46236 32699.4 0.01 0.00999203 0.1 0.0999601 0.08 0 0 0.0304717 -0.0262619 -0.000830157
14 -14467.4 -46236 31768.5 0.01 0.00999799 0.1 0.0999899 0.08 0 0 0.0326249 -0.0280358 -0.0009338
15 -15399.2 -46236 30836.8 0.01 0.00999718 0.1 0.0999859 0.08 0 0 0.0357583 -0.029789 -0.0019085
16 -16320.6 -46236 29915.4 0.01 0.0100071 0.1 0.100036 0.08 0 0 0.0394246 -0.031539 -0.00142923
17 -17212.1 -46236 29023.9 0.01 0.0100004 0.1 0.100002 0.08 0 0 0.0417688 -0.0336207 -0.00112358
18 -18094 -46236 28142 0.01 0.0100017 0.1 0.100008 0.08 0 0 0.0452571 -0.0359896 -0.00159059
19 -18965.4 -46236 27270.6 0.01 0.00999734 0.1 0.0999867 0.08 0 0 0.048798 -0.0384976 -0.00150321
20 -19838 -46236 26398 0.01 0.0100092 0.1 0.100046 0.08 0 0 0.0513485 -0.0402424 -0.00168865
21 -20663.1 -46236 25572.9 0.01 0.00999861 0.1 0.099993 0.08 0 0 0.0539586 -0.0427638 -0.00264034
22 -21500 -46236 24736 0.01 0.00998887 0.1 0.0999443 0.08 0 0 0.057589 -0.0447515 -0.00275458
23 -22298.7 -46236 23937.2 0.01 0.00999393 0.1 0.0999696 0.08 0 0 0.0610002 -0.0465946 -0.00262942
24 -23074.2 -46236 23161.8 0.01 0.00999791 0.1 0.0999895 0.08 0 0 0.0636214 -0.0485642 -0.0028374
25 -23836.7 -46236 22399.3 0.01 0.00999346 0.1 0.0999673 0.08 0 0 0.0672299 -0.0512299 -0.0034606
26 -24574.5 -46236 21661.5 0.01 0.00998847 0.1 0.0999423 0.08 0 0 0.0711083 -0.0537957 -0.00451061
27 -25273.1 -46236 20962.9 0.01 0.00999612 0.1 0.0999806 0.08 0 0 0.0749211 -0.0566514 -0.00433953
28 -25912.7 -46236 20323.3 0.01 0.00999872 0.1 0.0999936 0.08 0 0 0.0774813 -0.0587381 -0.00420017
29 -26523.5 -46236 19712.5 0.01 0.00999702 0.1 0.0999851 0.08 0 0 0.079904 -0.0610766 -0.00466257
30 -27103.3 -46236 19132.6 0.01 0.00999859 0.1 0.099993 0.08 0 0 0.083855 -0.063722 -0.00494002
31 -27681.5 -46236 18554.4 0.01 0.00999737 0.1 0.0999869 0.08 0 0 0.0870934 -0.0663524 -0.00468935
32 -28202.3 -46236 18033.7 0.01 0.00999365 0.1 0.0999683 0.08 0 0 0.0888546 -0.0682274 -0.00555449
33 -28690.6 -46236 17545.4 0.01 0.00999729 0.1 0.0999865 0.08 0 0 0.0920257 -0.0693677 -0.00714779
34 -29175 -46236 17061 0.01 0.010004 0.1 0.10002 0.08 0 0 0.0941454 -0.0718883 -0.0068404
35 -29641.9 -46236 16594.1 0.01 0.00999907 0.1 0.0999953 0.08 0 0 0.0971011 -0.0725233 -0.00598382
36 -30070.2 -46236 16165.8 0.01 0.00999549 0.1 0.0999774 0.08 0 0 0.0997876 -0.0732154 -0.00641472
37 -30496 -46236 15740 0.01 0.0100006 0.1 0.100003 0.08 0 0 0.103082 -0.0752919 -0.00715821
38 -30896.5 -46236 15339.5 0.01 0.00999743 0.1 0.0999872 0.08 0 0 0.106542 -0.0761953 -0.00679199
39 -31301.6 -46236 14934.4 0.01 0.0100016 0.1 0.100008 0.08 0 0 0.109015 -0.0782435 -0.00748379
40 -31643.2 -46236 14592.8 0.01 0.0100021 0.1 0.100011 0.08 0 0 0.1117 -0.0804315 -0.00802464
41 -31973.6 -46236 14262.4 0.01 0.0100031 0.1 0.100016 0.08 0 0 0.11514 -0.0821024 -0.00775507
42 -32274.5 -46236 13961.4 0.01 0.0100014 0.1 0.100007 0.08 0 0 0.118834 -0.0828887 -0.00771584
43 -32571.4 -46236 13664.5 0.01 0.0100015 0.1 0.100007 0.08 0 0 0.120646 -0.0844487 -0.0093934
44 -32849.8 -46236 13386.2 0.01 0.0100035 0.1 0.100017 0.08 0 0 0.123908 -0.0864834 -0.00968041
45 -33089.4 -46236 13146.6 0.01 0.0100013 0.1 0.100007 0.08 0 0 0.126542 -0.088878 -0.00925049
46 -33322.2 -46236 12913.8 0.01 0.00999745 0.1 0.0999872 0.08 0 0 0.128735 -0.0894512 -0.00920736
47 -33556.4 -46236 12679.6 0.01 0.00999225 0.1 0.0999613 0.08 0 0 0.131137 -0.0905213 -0.00978471
48 -33767.8 -46236 12468.2 0.01 0.00999296 0.1 0.0999648 0.08 0 0 0.133877 -0.0908581 -0.0109146
49 -33975.6 -46236 12260.4 0.01 0.0099969 0.1 0.0999845 0.08 0 0 0.136655 -0.0923604 -0.0105795
50 -34158.4 -46236 12077.6 0.01 0.0099978 0.1 0.099989 0.08 0 0 0.139044 -0.0942504 -0.0115159
51 -34356 -46236 11879.9 0.01 0.00999781 0.1 0.099989 0.08 0 0 0.141974 -0.0950941 -0.0113742
52 -34539.7 -46236 11696.3 0.01 0.0100005 0.1 0.100002 0.08 0 0 0.143562 -0.0962805 -0.01125
53 -34698.7 -46236 11537.3 0.01 0.0100076 0.1 0.100038 0.08 0 0 0.146749 -0.0984083 -0.0120926
54 -34870.1 -46236 11365.8 0.01 0.0100024 0.1 0.100012 0.08 0 0 0.149663 -0.0993933 -0.0132081
55 -35029.5 -46236 11206.4 0.01 0.0100042 0.1 0.100021 0.08 0 0 0.150747 -0.0998648 -0.013622
56 -35205.1 -46236 11030.9 0.01 0.00999896 0.1 0.0999948 0.08 0 0 0.152785 -0.100876 -0.0136791
57 -35367.7 -46236 10868.2 0.01 0.00999313 0.1 0.0999656 0.08 0 0 0.155865 -0.10299 -0.0139226
58 -35514.1 -46236 10721.9 0.01 0.0100012 0.1 0.100006 0.08 0 0 0.157692 -0.104066 -0.0146388
59 -35656.6 -46236 10579.4 0.01 0.0100046 0.1 0.100023 0.08 0 0 0.161541 -0.104725 -0.0160151
60 -35791.5 -46236 10444.5 0.01 0.00998917 0.1 0.0999458 0.08 0 0 0.164242 -0.105691 -0.0166358
61 -35918.8 -46236 10317.2 0.01 0.0100009 0.1 0.100005 0.08 0 0 0.167126 -0.106119 -0.0165921
62 -36039 -46236 10197 0.01 0.00999993 0.1 0.0999997 0.08 0 0 0.169792 -0.106395 -0.0166514
63 -36172.4 -46236 10063.6 0.01 0.0099981 0.1 0.0999905 0.08 0 0 0.172523 -0.108516 -0.0168976
64 -36299 -46236 9937 0.01 0.0100007 0.1 0.100003 0.08 0 0 0.175119 -0.109038 -0.0179156
65 -36419.6 -46236 9816.37 0.01 0.0100027 0.1 0.100013 0.08 0 0 0.178129 -0.111108 -0.018184
66 -36541.4 -46236 9694.54 0.01 0.0100025 0.1 0.100013 0.08 0 0 0.180648 -0.111589 -0.019308
67 -36658.6 -46236 9577.41 0.01 0.00999805 0.1 0.0999903 0.08 0 0 0.18388 -0.111929 -0.0193955
68 -36774.4 -46236 9461.55 0.01 0.00999907 0.1 0.0999953 0.08 0 0 0.186458 -0.112925 -0.0198121
69 -36883.3 -46236 9352.71 0.01 0.0100019 0.1 0.100009 0.08 0 0 0.18828 -0.113893 -0.0201307
70 -36976 -46236 9260.01 0.01 0.00999688 0.1 0.0999844 0.08 0 0 0.191285 -0.115097 -0.0192675
71 -37077.9 -46236 9158.06 0.01 0.00999345 0.1 0.0999672 0.08 0 0 0.193613 -0.116191 -0.0190557
72 -37146.7 -46236 9089.31 0.01 0.00999765 0.1 0.0999882 0.08 0 0 0.195572 -0.116258 -0.0195335
73 -37236.5 -46236 8999.52 0.01 0.00999707 0.1 0.0999853 0.08 0 0 0.19905 -0.117334 -0.0195546
74 -37309 -46236 8927 0.01 0.0100003 0.1 0.100002 0.08 0 0 0.202297 -0.117014 -0.0194905
75 -37391.9 -46236 8844.12 0.01 0.0100045 0.1 0.100023 0.08 0 0 0.204975 -0.11851 -0.0202122
76 -37489.5 -46236 8746.46 0.01 0.00999776 0.1 0.0999888 0.08 0 0 0.208504 -0.119172 -0.0200852
77 -37555.3 -46236 8680.67 0.01 0.00998564 0.1 0.0999282 0.08 0 0 0.211269 -0.120853 -0.0196311
78 -37644.1 -46236 8591.92 0.01 0.0100033 0.1 0.100017 0.08 0 0 0.214735 -0.121569 -0.0205311
79 -37717.6 -46236 8518.34 0.01 0.0100006 0.1 0.100003 0.08 0 0 0.217261 -0.122685 -0.0210057
80 -37798.4 -46236 8437.55 0.01 0.0099939 0.1 0.0999695 0.08 0 0 0.219577 -0.122712 -0.0213296
81 -37878.2 -46236 8357.83 0.01 0.00999391 0.1 0.0999696 0.08 0 0 0.221742 -0.123535 -0.022082
82 -37964 -46236 8272.01 0.01 0.0100012 0.1 0.100006 0.08 0 0 0.225142 -0.124313 -0.0219638
83 -38057.6 -46236 8178.38 0.01 0.0099935 0.1 0.0999675 0.08 0 0 0.227848 -0.12615 -0.023242
84 -38121 -46236 8115.03 0.01 0.00999826 0.1 0.0999913 0.08 0 0 0.231007 -0.128027 -0.0229042
85 -38218.4 -46236 8017.54 0.01 0.0100004 0.1 0.100002 0.08 0 0 0.233794 -0.129173 -0.0242597
86 -38280.8 -46236 7955.18 0.01 0.0100052 0.1 0.100026 0.08 0 0 0.236542 -0.130874 -0.0251234
87 -38342.1 -46236 7893.93 0.01 0.00999663 0.1 0.0999831 0.08 0 0 0.239469 -0.132906 -0.0249411
88 -38413.7 -46236 7822.23 0.01 0.00999345 0.1 0.0999672 0.08 0 0 0.241282 -0.133672 -0.0242534
89 -38495.5 -46236 7740.51 0.01 0.00999108 0.1 0.0999554 0.08 0 0 0.243567 -0.135148 -0.0238936
90 -38548.1 -46236 7687.86 0.01 0.00999753 0.1 0.0999876 0.08 0 0 0.245976 -0.135431 -0.0247375
91 -38616 -46236 7620.03 0.01 0.0100006 0.1 0.100003 0.08 0 0 0.248911 -0.137918 -0.0238341
92 -38688.3 -46236 7547.67 0.01 0.00999821 0.1 0.099991 0.08 0 0 0.250678 -0.138665 -0.0236397
93 -38768.5 -46236 7467.5 0.01 0.010002 0.1 0.10001 0.08 0 0 0.252421 -0.14 -0.0228808
94 -38829 -46236 7407.01 0.01 0.0100008 0.1 0.100004 0.08 0 0 0.255161 -0.140807 -0.0230313
95 -38879.8 -46236 7356.2 0.01 0.0100084 0.1 0.100042 0.08 0 0 0.257231 -0.140324 -0.0230982
96 -38930.5 -46236 7305.51 0.01 0.00999417 0.1 0.0999709 0.08 0 0 0.259702 -0.141472 -0.0238576
97 -38976.5 -46236 7259.43 0.01 0.00999512 0.1 0.0999756 0.08 0 0 0.261958 -0.142844 -0.0248394
98 -39006.9 -46236 7229.12 0.01 0.0100077 0.1 0.100038 0.08 0 0 0.263982 -0.14401 -0.0256348
99 -39067 -46236 7169.02 0.01 0.00998749 0.1 0.0999374 0.08 0 0 0.26671 -0.143635 -0.0270295
100 -39135 -46236 7100.96 0.01 0.00999436 0.1 0.0999718 0.08 0 0 0.268703 -0.14459 -0.0260768
101 -39195.4 -46236 7040.57 0.01 0.00999903 0.1 0.0999952 0.08 0 0 0.271333 -0.145547 -0.026543
102 -39264.1 -46236 6971.9 0.01 0.00999768 0.1 0.0999884 0.08 0 0 0.273521 -0.146525 -0.0285052
103 -39316.8 -46236 6919.14 0.01 0.00999714 0.1 0.0999857 0.08 0 0 0.274908 -0.147144 -0.029045
104 -39356.9 -46236 6879.05 0.01 0.010003 0.1 0.100015 0.08 0 0 0.275693 -0.14989 -0.0291098
105 -39393.3 -46236 6842.7 0.01 0.0100043 0.1 0.100021 0.08 0 0 0.278058 -0.15025 -0.0291751
106 -39447.4 -46236 6788.59 0.01 0.00999809 0.1 0.0999905 0.08 0 0 0.280535 -0.150492 -0.0291861
107 -39484.9 -46236 6751.11 0.01 0.00999947 0.1 0.0999974 0.08 0 0 0.283467 -0.151786 -0.0289346
108 -39540 -46236 6696.02 0.01 0.00999857 0.1 0.0999929 0.08 0 0 0.285022 -0.153755 -0.0283166
109 -39591.1 -46236 6644.88 0.01 0.00999103 0.1 0.0999551 0.08 0 0 0.286806 -0.155042 -0.0288807
110 -39629.8 -46236 6606.19 0.01 0.0100032 0.1 0.100016 0.08 0 0 0.288681 -0.155266 -0.0289286
111 -39672.6 -46236 6563.4 0.01 0.00999676 0.1 0.0999838 0.08 0 0 0.29105 -0.156638 -0.0280937
112 -39718.1 -46236 6517.89 0.01 0.00999776 0.1 0.0999888 0.08 0 0 0.29289 -0.158076 -0.0285026
113 -39753.2 -46236 6482.79 0.01 0.00999745 0.1 0.0999873 0.08 0 0 0.294634 -0.158864 -0.0295035
114 -39800.8 -46236 6435.2 0.01 0.0100032 0.1 0.100016 0.08 0 0 0.296759 -0.159264 -0.0302194
115 -39817.7 -46236 6418.24 0.01 0.00999761 0.1 0.099988 0.08 0 0 0.298866 -0.159641 -0.0309406
116 -39852.6 -46236 6383.41 0.01 0.0100077 0.1 0.100038 0.08 0 0 0.301102 -0.160913 -0.0304954
117 -39889.6 -46236 6346.41 0.01 0.0100043 0.1 0.100022 0.08 0 0 0.302289 -0.162565 -0.0317853
118 -39948.8 -46236 6287.19 0.01 0.00999747 0.1 0.0999874 0.08 0 0 0.30465 -0.16325 -0.031063
119 -39991.9 -46236 6244.04 0.01 0.00999454 0.1 0.0999727 0.08 0 0 0.306423 -0.164841 -0.0317001
